Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Order_Date,Shipment_Date
Second Class,Consumer,United States,Henderson,Kentucky,42420.0,South,Furniture,Bookcases,261.96,2.0,0.0,41.9136,11/01/2020,15/01/2020
Second Class,Consumer,United States,Henderson,Kentucky,42420.0,South,Furniture,Chairs,731.94,3.0,0.0,219.582,11/01/2019,15/01/2019
Second Class,Corporate,United States,Los Angeles,California,90036.0,West,Office Supplies,Labels,14.62,2.0,0.0,6.8714,14/01/2019,18/01/2019
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311.0,South,Furniture,Tables,957.5775,5.0,0.45,-383.031,14/01/2019,18/01/2019
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311.0,South,Office Supplies,Storage,22.368000000000002,2.0,0.2,2.5164,14/01/2019,18/01/2019
Standard Class,Consumer,United States,Los Angeles,California,90032.0,West,Furniture,Furnishings,48.86,7.0,0.0,14.1694,14/01/2019,18/01/2019
Standard Class,Consumer,United States,Los Angeles,California,90032.0,West,Office Supplies,Art,7.28,4.0,0.0,1.9656,22/01/2019,27/01/2019
Standard Class,Consumer,United States,Los Angeles,California,90032.0,West,Technology,Phones,907.1519999999999,6.0,0.2,90.7152,24/01/2019,28/01/2019
Standard Class,Consumer,United States,Los Angeles,California,90032.0,West,Office Supplies,Binders,18.504,3.0,0.2,5.7825,26/01/2019,31/01/2019
Standard Class,Consumer,United States,Los Angeles,California,90032.0,West,Office Supplies,Appliances,114.9,5.0,0.0,34.47,26/01/2019,31/01/2019
Standard Class,Consumer,United States,Los Angeles,California,90032.0,West,Furniture,Tables,1706.184,9.0,0.2,85.3092,26/01/2019,31/01/2019
Standard Class,Consumer,United States,Los Angeles,California,90032.0,West,Technology,Phones,911.424,4.0,0.2,68.3568,26/01/2019,31/01/2019
Standard Class,Consumer,United States,Concord,North Carolina,28027.0,South,Office Supplies,Paper,15.552,3.0,0.2,5.4432,05/02/2019,12/02/2019
Standard Class,Consumer,United States,Seattle,Washington,98103.0,West,Office Supplies,Binders,407.976,3.0,0.2,132.5922,05/02/2019,12/02/2019
Standard Class,Home Office,United States,Fort Worth,Texas,76106.0,Central,Office Supplies,Appliances,68.81,5.0,0.8,-123.85799999999999,05/02/2019,12/02/2019
Standard Class,Home Office,United States,Fort Worth,Texas,76106.0,Central,Office Supplies,Binders,2.544,3.0,0.8,-3.8160000000000003,22/02/2019,24/02/2019
Standard Class,Consumer,United States,Madison,Wisconsin,53711.0,Central,Office Supplies,Storage,665.88,6.0,0.0,13.3176,22/02/2019,24/02/2019
Second Class,Consumer,United States,West Jordan,Utah,84084.0,West,Office Supplies,Storage,55.5,2.0,0.0,9.99,03/03/2019,08/03/2019
Second Class,Consumer,United States,San Francisco,California,94109.0,West,Office Supplies,Art,8.56,2.0,0.0,2.4824,09/03/2019,15/03/2019
Second Class,Consumer,United States,San Francisco,California,94109.0,West,Technology,Phones,213.48,3.0,0.2,16.011,09/03/2019,15/03/2019
Second Class,Consumer,United States,San Francisco,California,94109.0,West,Office Supplies,Binders,22.72,4.0,0.2,7.3839999999999995,22/03/2019,28/03/2019
